Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
Excalibur,"Ivory Tower > El Toro (The Front Side) > El Potrero Chico > Nuevo Leon > Northern Mexico > Mexico > North America > International",https://www.mountainproject.com/route/110054847/excalibur,3.1,-1,Sport,5.10-,6,480,25.95043,-100.47762
"Sticky Revelations","Prophesy Wall > Saint George > Utah",https://www.mountainproject.com/route/105718492/sticky-revelations,3.0,-1,Sport,5.10a,3,210,37.2939,-113.6932
"The Howling","The Warlock > The Needles > The Needles / Kern River > Southern Sierra > California",https://www.mountainproject.com/route/105834211/the-howling,3.1,-1,"Trad, Sport","5.10a PG13",2,,36.10666,-118.47894
"The Young and the Rackless","Upper East Face > East Blob > Blob Rock Area > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105762150/the-young-and-the-rackless,2.9,-1,Sport,5.9,4,300,40.00244,-105.38754
"Dos Chi Chis","Siberia > Outer Mongolia > The Middle Kingdom > Wonderland North > Wonderland of Rocks > Joshua Tree National Park > California",https://www.mountainproject.com/route/105724486/dos-chi-chis,3.1,-1,Sport,5.10a,2,240,34.06957,-116.16993
"Big Time","Castle Rock - South Face > Castle Rocks > Castle Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/105742169/big-time,3.1,-1,Sport,5.7,4,400,42.12418,-113.6714
"Bihedral Arete","The Bihedral (Upper Tier) > The Bihedral Area > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105757414/bihedral-arete,3.0,-1,"Trad, Sport",5.10a,2,180,40.0035,-105.3964
"In Lightning","The Druid > 6 - Mid-Mountain > Mount Lemmon (Catalina Highway) > Mount Lemmon (Santa Catalina Mountains) > Southern Arizona > Arizona",https://www.mountainproject.com/route/105738353/in-lightning,3.0,-1,Sport,5.8,2,180,32.40574,-110.72538
"Rock Du Jours Direct","Main Cliff > *Rumney > New Hampshire",https://www.mountainproject.com/route/106028627/rock-du-jours-direct,3.0,-1,Sport,5.9+,2,180,43.8025,-71.83593
Labyrinth,"Reynolds Hill > Vedauwoo > Wyoming",https://www.mountainproject.com/route/105895689/labyrinth,3.5,-1,"Trad, TR",5.9,2,,41.17386,-105.35395
"Pygmy Alien","Circus Wall > Island In The Sky > Snow Canyon State Park > Saint George > Utah",https://www.mountainproject.com/route/105718480/pygmy-alien,2.9,-1,"Trad, Sport",5.7,2,230,37.19743,-113.64353
"Alligator Soup","East Face > Kindergarten Rock > Garden of the Gods > Colorado Springs > Colorado",https://www.mountainproject.com/route/105762465/alligator-soup,3.0,-1,Sport,5.9+,2,140,38.87475,-104.87948
"Ramsey's Shenanigans","Wonder Wall > El Potrero Chico > Nuevo Leon > Northern Mexico > Mexico > North America > International",https://www.mountainproject.com/route/107377663/ramseys-shenanigans,3.0,-1,Sport,5.9+,3,300,25.95004,-100.47694
"Stayin' Alive","Sport Land > Tonnere Tower > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105975956/stayin-alive,2.9,-1,Sport,5.10a,2,185,40.0038,-105.4058
"Cosmic Space Dust Lazers","Layer Cake > Rock Canyon > Wasatch Range > Utah",https://www.mountainproject.com/route/106147229/cosmic-space-dust-lazers,2.8,-1,Sport,5.8,9,1000,40.2667,-111.6245
"Past Lives","Prophesy Wall > Saint George > Utah",https://www.mountainproject.com/route/106056709/past-lives,2.9,-1,Sport,5.9,3,180,37.2939,-113.6932
"Cruel Shoes","Stripe Rock > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/105742130/cruel-shoes,2.8,-1,Sport,5.7,3,,42.08973,-113.70937
"Office Party","The Sacred Trust > Lime Kiln Canyon > The Arizona Strip > Northern Arizona > Arizona",https://www.mountainproject.com/route/107482137/office-party,2.9,-1,Sport,5.10a,6,360,36.65739,-114.00713
"Crowd Pleaser","Main Cliff Right > *Rumney > New Hampshire",https://www.mountainproject.com/route/110508566/crowd-pleaser,2.7,-1,Sport,5.7,2,,43.8027,-71.83554
"Gun Rack","Clem's Holler > Clem's Holler Area > Tumwater Canyon > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/105921065/gun-rack,2.9,-1,Sport,5.9,2,,47.58978,-120.68839
Zinger,"Hostess Gully - West Corridor > Castle Rocks > Castle Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/105742181/zinger,2.9,-1,Sport,5.8,3,290,42.12433,-113.67199
Sinocranium,"Steinfell's Dome > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/105740942/sinocranium,2.8,-1,Sport,5.8,7,650,42.09646,-113.68672
"Over The Rainbow","The Apron > The Chief > Squamish > British Columbia > Canada > North America > International",https://www.mountainproject.com/route/106188258/over-the-rainbow,2.8,-1,"Trad, Sport",5.9+,7,600,49.6863,-123.1474
"The Plank","Lost Boys > Neverland > Exit 38: Far Side > Exit 38 > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/105854030/the-plank,2.8,-1,Sport,5.10a,3,200,47.4352,-121.6319
"Merci Me","Grand Wall Base Area > The Chief > Squamish > British Columbia > Canada > North America > International",https://www.mountainproject.com/route/106527466/merci-me,2.8,-1,Sport,"5.8 R",2,190,49.6827,-123.1482
"Man's Best Friend","Front Corridor > Parking Lot Area > 05-Sandstone Quarry > Red Rock > Southern Nevada > Nevada",https://www.mountainproject.com/route/106070440/mans-best-friend,2.7,-1,Sport,5.7,2,180,36.16234,-115.4495
