Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Being There","Eagles Roost Buttress > Williamson Rock > Angeles National Forest > Los Angeles Basin > California",https://www.mountainproject.com/route/107501164/being-there,3.8,-1,Sport,5.7,3,200,34.3635,-117.8797
"Crystal Wall Route","Crystal Wall Area > Slick Rock Dome > Highway 50 Corridor > Lake Tahoe > California",https://www.mountainproject.com/route/111951103/crystal-wall-route,4.0,-1,Sport,"5.9 R",2,300,38.8802,-120.2893
"Magellan's Voyage (direct)","High Bluffs > Redwood Coast > California",https://www.mountainproject.com/route/111119322/magellans-voyage-direct,3.8,-1,Sport,5.10a,2,200,41.50877,-124.07899
"The Enthusiast aka Guided by Voices","Rapids Rock > South Fork of St. Vrain Canyon > St. Vrain Canyons > Lyons > Colorado",https://www.mountainproject.com/route/105760956/the-enthusiast-aka-guided-by-voices,4.0,-1,"Trad, TR",5.9+,2,130,40.18438,-105.33872
"Hannah chez les grands","Paroi du Levant > Todra Gorge > Morocco > Africa > International",https://www.mountainproject.com/route/112178059/hannah-chez-les-grands,4.0,-1,Sport,5.10a/b,9,1050,31.57987,-5.59387
"Tour De Toad","Main Cliff Right > *Rumney > New Hampshire",https://www.mountainproject.com/route/110540900/tour-de-toad,2.9,-1,Sport,5.9,3,200,43.8027,-71.83554
"Lucy in the Sky","Devil's Race Track > Tennessee",https://www.mountainproject.com/route/106750672/lucy-in-the-sky,3.5,-1,Sport,5.9,2,150,36.3288,-84.2233
"Passion And Pain","Mulanje Massif > Malawi > Africa > International",https://www.mountainproject.com/route/116154667/passion-and-pain,4.0,-1,Sport,5.9,7,1450,-16.0141,35.5737
"La Torre","Settore della Torre > Monte Cucco > Finale Ligure > Liguria region > Italy > Europe > International",https://www.mountainproject.com/route/107491120/la-torre,3.8,-1,Sport,5.10a,2,200,44.2143,8.3328
StrikeSlip,"Three Hour Buttress > Pine Creek Canyon > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/107136457/strikeslip,2.7,-1,"Trad, Sport",5.9,4,320,37.3759,-118.681
"Lo Spirito dei Montani","Ventana Sur Altos > Cerro Ventana Sur > San Carlos de Bariloche > Rio Negro > Argentina > South America > International",https://www.mountainproject.com/route/113887342/lo-spirito-dei-montani,3.6,-1,Sport,5.9,7,500,-41.19191,-71.38921
Vertebrae,"Snowy Mt > G: Indian Lake Region > Adirondacks > New York",https://www.mountainproject.com/route/106523397/vertebrae,3.6,-1,Sport,5.9,2,240,43.69963,-74.38656
"Arete de Marseille","La Candelle > Calanque de Sugiton > Calanques > France > Europe > International",https://www.mountainproject.com/route/115365761/arete-de-marseille,4.0,-1,Sport,5.9+,6,500,43.21123,5.46506
HangTen,"McKinley Rock > Southwest Oregon > Oregon",https://www.mountainproject.com/route/115166710/hangten,4.0,-1,Sport,"5.10a/b PG13",3,450,43.49324,-122.66391
Midichlorophobia,"Tatooine > Galaxy Area > Rock Canyon > Wasatch Range > Utah",https://www.mountainproject.com/route/106783845/midichlorophobia,2.7,-1,Sport,5.9,2,,40.26544,-111.61291
Serengeti,"Rote Wand > Grazer Bergland > Steiermark > Austria > Europe > International",https://www.mountainproject.com/route/115341314/serengeti,4.0,-1,Sport,5.10a,8,820,47.32975,15.40211
"Graue Wand (Niedermann) 5c+","Graue Wand > Albert Heim > Switzerland > Europe > International",https://www.mountainproject.com/route/107416386/graue-wand-niedermann-5c,4.0,-1,"Trad, Sport",5.9+,11,1200,46.6091,8.4639
"Pfaffenstein Südwestkante","Pfaffenstein > Hochschwab Area > Steiermark > Austria > Europe > International",https://www.mountainproject.com/route/117782793/pfaffenstein-sudwestkante,4.0,-1,"Sport, Alpine","5.8 PG13",12,1075,47.56117,14.91444
"Keeps Me Out of Rusty's (KMOOR)","Diamond Face > Lower Gorge > Owens River Gorge > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/112529488/keeps-me-out-of-rustys-kmoor,2.8,-1,Sport,5.9,2,115,37.50342,-118.56721
"Whipped Cream","Icebox > Sierra Ancha Mountains > Central Arizona > Arizona",https://www.mountainproject.com/route/106117459/whipped-cream,4.0,-1,Sport,"5.9 PG13",2,140,33.76713,-110.97708
"Mangolyto 6a","Winterstock South face > Albert Heim > Switzerland > Europe > International",https://www.mountainproject.com/route/107416012/mangolyto-6a,4.0,-1,Sport,5.10a,8,1000,46.6186,8.4619
"Roger`s lunch buffet","Ashlar Ridge > Jasper National Park > Alberta > Canada > North America > International",https://www.mountainproject.com/route/116613234/rogers-lunch-buffet,4.0,-1,"Sport, Alpine",5.10a/b,8,754,53.1742,-117.8281
Dizzy,"A: Playground Wall -Detention Area > Cedar Bluff > Illinois",https://www.mountainproject.com/route/105911941/dizzy,3.2,-1,Sport,5.8,2,100,37.5188,-89.02746
"Dirty Sanchez","i. Orangutan Buttress > Ralph Stover State Park (High Rocks) > Southeastern Lowlands > Pennsylvania",https://www.mountainproject.com/route/107478445/dirty-sanchez,2.8,-1,Sport,5.9+,2,110,40.4414,-75.09818
"Western Harlot","The Outpost > Chek > Sea to Sky (Squamish to Whistler) > British Columbia > Canada > North America > International",https://www.mountainproject.com/route/108370377/western-harlot,3.3,-1,Sport,5.9,4,338,49.93557,-123.15603
"Oh My Gosh","Castle Rock - South Face > Castle Rocks > Castle Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/108850499/oh-my-gosh,2.3,-1,Sport,5.7,2,195,42.12418,-113.6714
"King Kong","Chichidho > Peña de Bernal > Queretaro > Central Mexico > Mexico > North America > International",https://www.mountainproject.com/route/116731936/king-kong,3.8,-1,Sport,5.10a,8,720,20.75197,-99.94939
"Wily Javelina","Table Dome > Mendoza Canyon (aka Coyote Domes) > Southern Arizona > Arizona",https://www.mountainproject.com/route/106124072/wily-javelina,3.0,-1,"Trad, Sport","5.9 PG13",6,700,31.991,-111.5172
"Kansas Honey","Arch Rock > Elevenmile Canyon > South Platte > Colorado",https://www.mountainproject.com/route/107699247/kansas-honey,2.3,-1,"Trad, TR",5.9,3,125,38.93784,-105.40579
"Walk In The High Country","Devil's Slide > Main Dome > Enchanted Rock State Natural Area > Texas",https://www.mountainproject.com/route/106954177/walk-in-the-high-country,3.3,-1,Sport,"5.8 PG13",5,500,30.50849,-98.819
"Sound of Silence","Surtana > Sardinia > Italy > Europe > International",https://www.mountainproject.com/route/117559715/sound-of-silence,4.0,-1,Sport,5.8,5,400,40.234,9.50826
"Give a Little Bit","River side of Main Massif or Quarry Wall > Necedah (Petenwell Bluff) > Wisconsin",https://www.mountainproject.com/route/114305880/give-a-little-bit,2.9,-1,Sport,5.9+,2,100,44.04562,-90.02017
"Unknown between Divine Miss M & Erotic Plants","Acid Rock > Goose Creek/Molly Gulch Campground > South Platte > Colorado",https://www.mountainproject.com/route/105829436/unknown-between-divine-miss-m-erotic-plants,3.3,-1,Sport,5.9+,4,370,39.18868,-105.33495
"Fire and Sage","Split Rock > Sweetwater Rocks > Wyoming",https://www.mountainproject.com/route/114069963/fire-and-sage,4.0,-1,Sport,5.8+,5,370,42.4536,-107.546
"Castle Magic","Penstock Rock > Lower Gorge > Owens River Gorge > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/108540774/castle-magic,3.4,-1,Sport,5.9,2,150,37.51005,-118.5696
Moonwalker,"Pedra Riscada > Minas Gerais > Brazil > South America > International",https://www.mountainproject.com/route/116181104/moonwalker,4.0,-1,Sport,"5.10a PG13",19,3500,-18.36256,-41.33499
Steinadlerroute,"Wiwanni > Switzerland > Europe > International",https://www.mountainproject.com/route/115130516/steinadlerroute,4.0,-1,Sport,5.7,12,1400,46.3447,7.86177
"Dudleya Man","Penstemon Dome > Courtright Reservoir > Southern Sierra > California",https://www.mountainproject.com/route/117846065/dudleya-man,4.0,-1,"Sport, Alpine",5.10a,2,240,37.0848,-118.95597
"Karabore to Brid za Veliki cecik","Stup G17-20 > Anica kuk > National Park of Paklenica > Croatia > Europe > International",https://www.mountainproject.com/route/116803119/karabore-to-brid-za-veliki-cecik,4.0,-1,Sport,"5.9+ PG13",12,900,44.30671,15.47783
"Milkylala - The Rocketship","Fifth Canyon > Wheeler Crest > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/112372847/milkylala-the-rocketship,3.5,-1,"Sport, Alpine",5.10-,7,800,37.4656,-118.64825
"L'arete a Marion","Col des Aravis > Northern Alps > France > Europe > International",https://www.mountainproject.com/route/113500408/larete-a-marion,4.0,-1,Sport,5.7+,14,1600,45.87235,6.46474
"Welcome to canada","Cummings Lake > Ontario North Bouldering and Rock > Ontario > Canada > North America > International",https://www.mountainproject.com/route/117123486/welcome-to-canada,4.0,-1,Sport,5.8,2,450,46.46179,-83.3477
"Feed The Sweed","Barnum Rock > 6 - Mid-Mountain > Mount Lemmon (Catalina Highway) > Mount Lemmon (Santa Catalina Mountains) > Southern Arizona > Arizona",https://www.mountainproject.com/route/108720061/feed-the-sweed,2.5,-1,Sport,5.8,3,200,32.40108,-110.69681
Mariangela,"Settore Settentrionale > Rocca di Perti > Finale Ligure > Liguria region > Italy > Europe > International",https://www.mountainproject.com/route/117797276/mariangela,4.0,-1,Sport,5.10a,5,375,44.195,8.30952
Juniperus,"Plombergstein > Austria > Europe > International",https://www.mountainproject.com/route/114555860/juniperus,4.0,-1,Sport,"5.7+ PG13",5,500,47.77795,13.35908
"La Raie Publique","Gerakios - Trois Ilots > Kalymnos > Greece > Europe > International",https://www.mountainproject.com/route/117947183/la-raie-publique,4.0,-1,Sport,5.10a/b,2,100,36.99137,26.93805
"Vecchie Beline","Versante Nord > Rocca di Perti > Finale Ligure > Liguria region > Italy > Europe > International",https://www.mountainproject.com/route/117765230/vecchie-beline,4.0,-1,Sport,5.10a,5,400,44.19553,8.3101
"Via Fritz (5b+ / 5c)","Pfriendler > Steingletscher > Switzerland > Europe > International",https://www.mountainproject.com/route/114491047/via-fritz-5b-5c,4.0,-1,"Sport, Alpine",5.9-,7,700,46.73712,8.42493
"The Cave Route","Treasure Island > The Callahans > Southwest Oregon > Oregon",https://www.mountainproject.com/route/117668650/the-cave-route,4.0,-1,Sport,5.10a,2,120,43.22272,-123.56263
"Direkte Gamsalmplatte","Berchtesgadener Hochthron > Berchtesgadener Land > Alpine > Oberbayern > Germany > Europe > International",https://www.mountainproject.com/route/107301822/direkte-gamsalmplatte,4.0,-1,"Sport, Alpine",5.10-,11,1000,47.6826,13.0142
"Middle Ground","Tear Drop Dome > Lone Mountain (Tonopah) > Western Nevada > Nevada",https://www.mountainproject.com/route/110334813/middle-ground,4.0,-1,Sport,5.8,2,200,37.99488,-117.51581
"Il Canto Del Sifone","Pranu Sartu > Italy > Europe > International",https://www.mountainproject.com/route/113360971/il-canto-del-sifone,4.0,-1,Sport,5.9+,3,300,39.38971,8.3853
"Naebel und Chempae 6a","Engelhoerner > Switzerland > Europe > International",https://www.mountainproject.com/route/107417232/naebel-und-chempae-6a,4.0,-1,Sport,5.10a,12,1200,46.6827,8.1807
"The Voyage","Quiquillon > Orpierre > Southern Alps > France > Europe > International",https://www.mountainproject.com/route/107744347/the-voyage,4.0,-1,Sport,5.10a,4,400,44.31472,5.69507
"Les Cinq Ânes","Les Cinq Ânes > Rocher de Freÿr > Meuse River Valley > Belgium > Europe > International",https://www.mountainproject.com/route/106673251/les-cinq-anes,4.0,-1,"Trad, Sport",5.7+,2,180,50.2258,4.8923
"Le Diedre Sud","Quiquillon > Orpierre > Southern Alps > France > Europe > International",https://www.mountainproject.com/route/111933341/le-diedre-sud,4.0,-1,Sport,"5.9+ PG13",4,560,44.31472,5.69507
"Roberta Groba","Capacete > Salinas / Três Picos > Rio de Janeiro > Brazil > South America > International",https://www.mountainproject.com/route/111961494/roberta-groba,4.0,-1,Sport,5.10a,10,1500,-22.33888,-42.72446
"Bayermann Vabreisch'n","Jägihorn > Switzerland > Europe > International",https://www.mountainproject.com/route/108205705/bayermann-vabreischn,4.0,-1,"Trad, Sport, Alpine",5.9,12,1250,46.1505,7.9712
"El Escalón (6a)","El Escalón > Valle de Quirós > Asturias > Spain > Europe > International",https://www.mountainproject.com/route/118136100/el-escalon-6a,4.0,-1,Sport,5.9+,3,,43.20465,-6.01856
"Sergio Jacob","Capacete > Salinas / Três Picos > Rio de Janeiro > Brazil > South America > International",https://www.mountainproject.com/route/111961517/sergio-jacob,4.0,-1,Sport,5.10a,4,500,-22.33888,-42.72446
"South Ridge","The Shield > Pungo Andongo - Pedras Negras - Black Rocks > Angola > Africa > International",https://www.mountainproject.com/route/109056996/south-ridge,4.0,-1,Sport,5.8,3,350,-9.66901,15.57423
India,"Main Sector > La Poltrona > Cala Gonone > Sardinia > Italy > Europe > International",https://www.mountainproject.com/route/110732251/india,4.0,-1,Sport,5.10a,5,,40.2821,9.6309
"Talk Louder","Gibralter Rocks > Banks Lake / Northrup Canyon > Central Region > Washington",https://www.mountainproject.com/route/108596938/talk-louder,4.0,-1,"Trad, Sport",5.9,2,,47.88291,-119.09159
"La Liedekerke","Massif de la Liedekerke > Rochers de Beez > Marche-les-Dames > Meuse River Valley > Belgium > Europe > International",https://www.mountainproject.com/route/107406054/la-liedekerke,4.0,-1,Sport,5.8,2,180,50.4798,4.9388
Chakkosh,"Pol-e-Khaab > Iran > Asia > International",https://www.mountainproject.com/route/110802238/chakkosh,4.0,-1,"Trad, TR",5.10a,3,60,36.01716,51.14516
"Bic (Whip)","Teplicke skaly > Czech Republic > Europe > International",https://www.mountainproject.com/route/107357545/bic-whip,4.0,-1,"Trad, Sport",5.8,2,150,50.595,16.145
"Rudolfo Chermont","Capacete > Salinas / Três Picos > Rio de Janeiro > Brazil > South America > International",https://www.mountainproject.com/route/109245027/rudolfo-chermont,4.0,-1,Sport,5.9,5,459,-22.33888,-42.72446
"El Gran Nueve","Nueve Meses (Nueve Montes) > Don Rayo Hills > Sierra de Juarez > Ciudad Juarez > Chihuahua > Northern Mexico > Mexico > North America > International",https://www.mountainproject.com/route/111659630/el-gran-nueve,4.0,-1,Sport,5.9+,2,,31.69969,-106.57678
"Pili y su catarro","Peña de los Buitres > Calcena, Aragón > Spain > Europe > International",https://www.mountainproject.com/route/110757962/pili-y-su-catarro,4.0,-1,Sport,5.9-,2,180,41.64893,-1.72041
"Via Amici 6a","Lochberg > Albert Heim > Switzerland > Europe > International",https://www.mountainproject.com/route/107158456/via-amici-6a,4.0,-1,Sport,5.10a,7,800,46.6196,8.4721
Zucchero,"Mandrachia Bassa > Mandrachia > Muzzerone > Liguria region > Italy > Europe > International",https://www.mountainproject.com/route/107498648/zucchero,4.0,-1,Sport,5.10a,2,110,44.0536,9.8284
Burgstein,"Burgstein bei Dollnstein > Frankenjura (South) > Germany > Europe > International",https://www.mountainproject.com/route/106964215/burgstein,4.0,-1,"Trad, Sport",5.8,2,150,48.8677,11.0939
"La Gastronome","Gastronome > Saint Julien > Northern Alps > France > Europe > International",https://www.mountainproject.com/route/107747229/la-gastronome,4.0,-1,Sport,5.10a,4,200,45.92398,6.86993
"The Corona Jewel","Horizon Village Wall > Whitemud Creek > Edmonton > Alberta > Canada > North America > International",https://www.mountainproject.com/route/118766741/the-corona-jewel,4.0,-1,Sport,"5.9+ PG13",2,60,53.46853,-113.56529
"Triple Adu","South Face > North Eagle Beak > The Eagle Beaks > Shuteye Ridge > Southern Sierra > California",https://www.mountainproject.com/route/118943870/triple-adu,4.0,-1,Sport,5.10a,3,500,37.33382,-119.39864
"Brownies In The Basin","Cob Rock > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105756787/brownies-in-the-basin,2.4,-1,"Trad, Sport",5.9+,2,,40.0005,-105.3895
"Follow That Thief","Canyon Amphitheater > The Pooka > Staunton Rocks > Staunton State Park > South Platte > Colorado",https://www.mountainproject.com/route/113538998/follow-that-thief,3.0,-1,Sport,5.9+,2,,39.5157,-105.39342
"Cerca del Paraiso (first pitch)","i. Sun Wall (Long Slabs) > Birdsboro Quarry > Southeastern Lowlands > Pennsylvania",https://www.mountainproject.com/route/109546132/cerca-del-paraiso-first-pitch,3.2,-1,Sport,5.10a,2,75,40.25149,-75.82395
"Wandering Taoist","Main Wall > Tollhouse Rock > Southern Sierra > California",https://www.mountainproject.com/route/105814282/wandering-taoist,3.2,-1,"Trad, Sport",5.9,4,350,37.02938,-119.38526
"Aerial Combat","Gargoyle Wall > Camelback Mountain > **Phoenix Areas > Central Arizona > Arizona",https://www.mountainproject.com/route/107397897/aerial-combat,3.0,-1,Sport,"5.9+ PG13",3,240,33.5192,-111.9694
"Sport 400","I. Les Grandes Dalles > Palissades de Charlevoix > Quebec City, Charlevoix, Portneuf > Quebec > Canada > North America > International",https://www.mountainproject.com/route/115191156/sport-400,3.3,-1,Sport,5.7,7,1300,47.89869,-69.96097
Hartford,"Cheap Wine Wall > Main Dome > Enchanted Rock State Natural Area > Texas",https://www.mountainproject.com/route/105860359/hartford,2.5,-1,"Trad, Sport",5.8,2,,30.5082,-98.81924
"Acne Problem","Hydrotube Area > Flagstone > Willamette Valley > Oregon",https://www.mountainproject.com/route/105821011/acne-problem,2.5,-1,Sport,5.7,2,180,43.9853,-122.2985
"L'Arco dei Guaitechi","Settore Centrale > Monte Sordo > Finale Ligure > Liguria region > Italy > Europe > International",https://www.mountainproject.com/route/107545074/larco-dei-guaitechi,3.7,-1,Sport,5.10a,2,195,44.1973,8.3172
"Yard Art","Peek-a-boo Tower > Duty Dome - Warrior Wall - Peek-a-boo Area > Icicle Creek > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/105940765/yard-art,2.3,-1,"Trad, Sport",5.9,3,450,47.54891,-120.74655
"Via Dello Spigolo","Gaeta > Italy > Europe > International",https://www.mountainproject.com/route/112888751/via-dello-spigolo,3.8,-1,Sport,5.10a,5,350,41.21597,13.56986
"Via del Carles","6. Gorro Frigi > Gorros > Montserrat > Catalonia > Spain > Europe > International",https://www.mountainproject.com/route/108811949/via-del-carles,3.0,-1,Sport,5.9,5,500,41.58999,1.8259
"Stone Free","11. Wonderwall > Mortal Earth > The Fins > Central Idaho > Idaho",https://www.mountainproject.com/route/115172420/stone-free,3.6,-1,Sport,5.10a,2,100,43.72236,-113.07814
"Afghan Hound","Hound Dog Crag > Ten Sleep Canyon > Wyoming",https://www.mountainproject.com/route/110537693/afghan-hound,2.5,-1,Sport,5.9,2,115,44.10033,-107.28463
"Three Border Phatties","Plum Wall > Las Estrellas Canyon > El Potrero Chico > Nuevo Leon > Northern Mexico > Mexico > North America > International",https://www.mountainproject.com/route/112802221/three-border-phatties,3.1,-1,Sport,5.9+,2,160,25.95021,-100.47533
"Nobody's Darlings","Second Tier > Hermit Canyon > Marjum Canyon > House Range > West Desert > Utah",https://www.mountainproject.com/route/106760597/nobodys-darlings,3.5,-1,Sport,5.10a,2,215,39.24648,-113.40296
"Diedra UBSA","Penon d'Ifach > Costa Blanca > Spain > Europe > International",https://www.mountainproject.com/route/108827232/diedra-ubsa,3.2,-1,"Trad, Sport","5.10a PG13",8,800,38.63492,0.07446
"Like Flowers Come Spring","Gun Show > Exit 38: Far Side > Exit 38 > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/114955236/like-flowers-come-spring,3.1,-1,Sport,5.9,2,140,47.42952,-121.62058
"Denis de l'évidence","Tranchant - Middle > Montagne du Tranchant > Lanaudiere > Quebec > Canada > North America > International",https://www.mountainproject.com/route/111471132/denis-de-levidence,3.1,-1,Sport,5.10a/b,2,130,46.29169,-73.85262
"Freudian Slip","Big Slide Mtn. > E: High Peaks Region > Adirondacks > New York",https://www.mountainproject.com/route/106057134/freudian-slip,3.3,-1,Sport,5.9-,3,400,44.1822,-73.8708
"The Fire Sermon","The Wasteland > East Stronghold > Cochise Stronghold > Southern Arizona > Arizona",https://www.mountainproject.com/route/107871458/the-fire-sermon,2.8,-1,"Trad, Sport",5.10-,4,600,31.94542,-109.96929
"Nuts and Bolts","5 - Bishop > Chessman Area > 2 - Bear Canyon > Mount Lemmon (Catalina Highway) > Mount Lemmon (Santa Catalina Mountains) > Southern Arizona > Arizona",https://www.mountainproject.com/route/106160738/nuts-and-bolts,2.8,-1,"Trad, Sport",5.10a/b,2,260,32.36032,-110.71983
Tilt-a-Whirl,"Radio Head > Devil's Head > South Platte > Colorado",https://www.mountainproject.com/route/106860373/tilt-a-whirl,2.4,-1,"Trad, Sport",5.9,2,200,39.26976,-105.11789
Implorien,"Mule Hollow Wall > Big Cottonwood Canyon > Wasatch Range > Utah",https://www.mountainproject.com/route/105957892/implorien,2.6,-1,Sport,5.9,2,200,40.63207,-111.75115
"Le Temple","Socle de la Candelle > Calanque de Sugiton > Calanques > France > Europe > International",https://www.mountainproject.com/route/111934343/le-temple,3.6,-1,Sport,5.9,9,550,43.21013,5.46379
"Send For The Man","AC/DC Wall > Rock Canyon > Wasatch Range > Utah",https://www.mountainproject.com/route/106131396/send-for-the-man,2.6,-1,Sport,5.10a,2,140,40.267,-111.6246
Bish,"Escape Rock (Northeast Face) > Escape Rock > Barker Dam Area > Joshua Tree National Park > California",https://www.mountainproject.com/route/106761113/bish,3.1,-1,Sport,5.8,2,150,34.03252,-116.14754
"Ice House Roof","Crystal Wall Area > Slick Rock Dome > Highway 50 Corridor > Lake Tahoe > California",https://www.mountainproject.com/route/111951204/ice-house-roof,3.3,-1,Sport,5.9,3,450,38.8802,-120.2893
"Afin Que Nul Ne Meure","Dalles Grises > Belvedere de la Carelle > Falaise de l'Escalés > Grand Cañon - Partie Amont > Gorge du Verdon > France > Europe > International",https://www.mountainproject.com/route/107450253/afin-que-nul-ne-meure,3.7,-1,"Trad, Sport",5.10a,5,475,43.7832,6.39108
"Machete Direct","Machete Ridge > West Side > Pinnacles National Park > Central Coast > California",https://www.mountainproject.com/route/106965445/machete-direct,2.8,-1,"Trad, Sport, Aid","5.10a/b A1 R",6,700,36.49729,-121.20149
"Remains to be Seen","Prophesy Wall > Saint George > Utah",https://www.mountainproject.com/route/106947200/remains-to-be-seen,2.7,-1,Sport,5.10a,2,220,37.2939,-113.6932
"Remember The Alamo","The Dihedrals > El Potrero Chico > Nuevo Leon > Northern Mexico > Mexico > North America > International",https://www.mountainproject.com/route/110160913/remember-the-alamo,2.6,-1,Sport,5.9,3,225,25.94681,-100.47955
"Independence Wall","Crystal Wall Area > Slick Rock Dome > Highway 50 Corridor > Lake Tahoe > California",https://www.mountainproject.com/route/113259307/independence-wall,3.3,-1,Sport,5.8,2,200,38.8802,-120.2893
Domzalski,"Stup G17-20 > Anica kuk > National Park of Paklenica > Croatia > Europe > International",https://www.mountainproject.com/route/116770788/domzalski,3.7,-1,Sport,"5.10a/b PG13",4,360,44.30671,15.47783
"Heart of Stone","Orange Wall > Banks Lake / Northrup Canyon > Central Region > Washington",https://www.mountainproject.com/route/107176077/heart-of-stone,3.2,-1,Sport,5.9+,5,400,47.9019,-119.1164
"The Pike","Armory Wall > Castle Rock > Lake Tahoe > Western Nevada > Nevada",https://www.mountainproject.com/route/112141982/the-pike,2.9,-1,Sport,5.9,2,180,38.98947,-119.9091
Unknown,"Gargoyle Wall > Camelback Mountain > **Phoenix Areas > Central Arizona > Arizona",https://www.mountainproject.com/route/108957293/unknown,2.8,-1,Sport,5.10a,3,260,33.5192,-111.9694
"Qui L'eut cru?","Jardins d'ete > Todra Gorge > Morocco > Africa > International",https://www.mountainproject.com/route/114043063/qui-leut-cru,3.4,-1,Sport,5.9,10,1800,31.5869,-5.5911
"The Faster We Go, The Rounder We Get","The Moonstone > Sweetwater Rocks > Wyoming",https://www.mountainproject.com/route/106361256/the-faster-we-go-the-rounder-we-get,3.7,-1,Sport,5.10a,2,400,42.5291,-107.51412
Hypotenuse,"Sourloti > Meteora > Greece > Europe > International",https://www.mountainproject.com/route/107432852/hypotenuse,3.7,-1,"Trad, Sport",5.10a,6,600,39.7148,21.6261
"Fun in the Sun","Rattlesnake Canyon Crags (including Upper and Lower Alchemist) > Santa Barbara > Central Coast > California",https://www.mountainproject.com/route/109518418/fun-in-the-sun,3.3,-1,Sport,"5.8 R",2,230,34.47098,-119.68953
"Timón y Pumba","La Selva (Jungle Wall) > El Potrero Chico > Nuevo Leon > Northern Mexico > Mexico > North America > International",https://www.mountainproject.com/route/112243143/timon-y-pumba,3.0,-1,Sport,5.10a,2,,25.94838,-100.47698
"Star Jumper","Lankin Dome > Sweetwater Rocks > Wyoming",https://www.mountainproject.com/route/106478465/star-jumper,3.5,-1,Sport,"5.9 PG13",6,700,42.53256,-107.56149
"Julay lama","Turon west > Turon > El Chorro > Andalucia > Spain > Europe > International",https://www.mountainproject.com/route/108758299/julay-lama,3.7,-1,Sport,5.10a,2,170,36.9085,-4.7603
"The Divine Ms M.","Acid Rock > Goose Creek/Molly Gulch Campground > South Platte > Colorado",https://www.mountainproject.com/route/105756664/the-divine-ms-m,3.1,-1,"Trad, Sport",5.9-,4,,39.18868,-105.33495
"Sweet Cigarillo","Upper Smoking Section > Smoking Sections > Sheeprock > Goose Creek/Molly Gulch Campground > South Platte > Colorado",https://www.mountainproject.com/route/106797185/sweet-cigarillo,3.2,-1,Sport,5.8,2,230,39.18863,-105.33053
"Unknown 5.8 Face","Chicken Rock > Valley of The Chickens > Badger Flats > Badger Mountain > South Platte > Colorado",https://www.mountainproject.com/route/113585005/unknown-58-face,3.3,-1,Sport,5.8,2,,39.10057,-105.52353
"Triboro Bridge","Caliche (Ciales) > Puerto Rico > North America > International",https://www.mountainproject.com/route/108541102/triboro-bridge,2.9,-1,Sport,5.9+,2,110,18.35194,-66.47877
"Northern Lights","NW Corner > Flagstone > Willamette Valley > Oregon",https://www.mountainproject.com/route/107805806/northern-lights,3.3,-1,Sport,5.9,2,200,43.9855,-122.299
Schizophrenia,"Psyche Slab > Eldred Valley > Powell River > British Columbia > Canada > North America > International",https://www.mountainproject.com/route/106214934/schizophrenia,3.4,-1,"Trad, Sport",5.10a/b,12,2000,50.1628,-124.2238
"Via del Padre","South Face > Peña de Bernal > Queretaro > Central Mexico > Mexico > North America > International",https://www.mountainproject.com/route/109904657/via-del-padre,3.3,-1,Sport,5.9,2,300,20.74833,-99.94637
"The Dragon's Spine","Coethedral Main > Coethedral > Mt. Hood > Oregon",https://www.mountainproject.com/route/107800472/the-dragons-spine,3.2,-1,Sport,5.8,2,350,45.07772,-122.10021
"Grey Waves","Kid Goat Buttress > Bow Valley > Alberta > Canada > North America > International",https://www.mountainproject.com/route/105933053/grey-waves,2.4,-1,Sport,5.8,5,500,51.08231,-115.12814
"Espero Primavera","Espero Primavera > Valley Crags > Siurana > Catalonia > Spain > Europe > International",https://www.mountainproject.com/route/106624755/espero-primavera,3.4,-1,Sport,5.10a,2,115,41.2641,0.93931
Knossos,"Land that Time Forgot > Sheeprock > Goose Creek/Molly Gulch Campground > South Platte > Colorado",https://www.mountainproject.com/route/105926176/knossos,2.8,-1,Sport,5.9+,5,,39.19,-105.33063
"Dark Star","The Moon > The Benches > The Emeralds > Bowman/Emeralds > I-80 Corridor > Lake Tahoe > California",https://www.mountainproject.com/route/116079266/dark-star,3.0,-1,Sport,5.9-,3,170,39.32602,-120.64793
"Lo dejamos ahi","Paredon de Los Condores > El Chalten > Santa Cruz > Argentina > South America > International",https://www.mountainproject.com/route/108706281/lo-dejamos-ahi,2.9,-1,Sport,5.9,4,400,-49.32838,-72.88083
"Walk on the Mild Side","Eagle Bluff > -Clifton Crags > Maine",https://www.mountainproject.com/route/106277173/walk-on-the-mild-side,2.8,-1,Sport,5.8+,2,200,44.79328,-68.49641
Intimidator,"Layer Cake > Rock Canyon > Wasatch Range > Utah",https://www.mountainproject.com/route/106149336/intimidator,2.6,-1,Sport,5.10a,2,70,40.2667,-111.6245
