Route,URL,Avg_Stars,Pitches,Length_(feet),Length_(meters),Area_Latitude,Area_Longitude,Loc_1,Loc_2,Loc_3,Loc_4,Loc_5,Loc_6,Route_type1,Route_type2,Route_type3,Class,Protection_Rating,Aid_Grading
Piel del Elefante,https://www.mountainproject.com/route/116698830/piel-del-elefante,3,2,150,46,18.09261,-66.23084,Left Teta,Cerro Las Tetas (Cayey),Puerto Rico,USA,North America,Domestic,Sport,,,5.10a,,
Blame It On El Nino,https://www.mountainproject.com/route/111152997/blame-it-on-el-nino,2.9,2,155,47,44.5594,-106.94224,5. El Nino Wall,The Shipyard,Wyoming,USA,North America,Domestic,Sport,,,5.10a,,
Hello Marco 6a,https://www.mountainproject.com/route/107317995/hello-marco-6a,3,11,1200,366,46.5571,7.2475,Gastlosen,Switzerland,,Switzerland,Europe,International,Sport,,,5.10a,,
Wings for Life,https://www.mountainproject.com/route/107867694/wings-for-life,2.6,9,825,251,37.004,26.9057,Multipitch routes,South Face,,Greece,Europe,International,Sport,,,5.10a,,
Winter Surprise,https://www.mountainproject.com/route/111299374/winter-surprise,3,2,,,37.18961,-105.80328,Lefty,Manassa,Colorado,USA,North America,Domestic,Sport,,,5.10a,,
Star Jumper,https://www.mountainproject.com/route/106478465/star-jumper,3.5,6,700,213,42.53256,-107.56149,Lankin Dome,Sweetwater Rocks,Wyoming,USA,North America,Domestic,Sport,,,5.9,PG13,
Brambillandia,https://www.mountainproject.com/route/116204861/brambillandia,3.1,10,800,244,-41.19191,-71.38921,Ventana Sur Altos,Cerro Ventana Sur,,Argentina,South America,International,Sport,,,5.9,PG13,
Higher Heights,https://www.mountainproject.com/route/111662482/higher-heights,2.6,2,200,61,40.7403,-112.6394,Blob's Your Uncle,The Valley of Zion,Utah,USA,North America,Domestic,Sport,,,5.10a,,
Traffic,https://www.mountainproject.com/route/114517429/traffic,3,2,,,51.40785,-116.24052,Hillside area,The Back of The Lake,,Canada,North America,International,Sport,,,5.10a,,
El Gringo Loco,https://www.mountainproject.com/route/114433815/el-gringo-loco,3,3,300,91,43.7674,6.3714,Belvedere de la Dent d'Aire,Falaise de l'Escalés,,France,Europe,International,Sport,,,5.10a,,
Burke Box Ball Route,https://www.mountainproject.com/route/107028382/burke-box-ball-route,3,2,,,39.41867,-105.26798,The Dome,Cathedral Spires Area,Colorado,USA,North America,Domestic,Sport,,,5.10a,,
Michelangelo,https://www.mountainproject.com/route/118571921/michelangelo,3,9,860,262,47.3262,15.38616,Röthelstein,Grazer Bergland,,Austria,Europe,International,Sport,,,5.10a,,
36 Views of Lone Mountain,https://www.mountainproject.com/route/106379315/36-views-of-lone-mountain,3,2,400,122,42.5291,-107.51412,The Moonstone,Sweetwater Rocks,Wyoming,USA,North America,Domestic,Sport,,,5.10a,,
