Route,URL,Avg_Stars,Pitches,Length_(feet),Length_(meters),Area_Latitude,Area_Longitude,Loc_1,Loc_2,Loc_3,Loc_4,Loc_5,Loc_6,Route_type1,Route_type2,Route_type3,Class,Protection_Rating,Aid_Grading
Segui il punto,https://www.mountainproject.com/route/108707950/segui-il-punto,3,2,150,46,46.32219,9.0497,Osogna,Switzerland,,Switzerland,Europe,International,Sport,,,5.10-,,
Silver Rush,https://www.mountainproject.com/route/115965029/silver-rush,2.7,2,200,61,45.00345,-116.05926,The Thinking Spot,McCall Area,Idaho,USA,North America,Domestic,Sport,,,5.10-,,
Gargoyle,https://www.mountainproject.com/route/106525054/gargoyle,2.5,2,160,49,32.43213,-110.79756,Southeast Face,The Fortress,Arizona,USA,North America,Domestic,Sport,,,5.10-,,
Rambo,https://www.mountainproject.com/route/116101003/rambo,2.5,6,755,230,43.45889,16.70411,Ilinac,Omiš,,Croatia,Europe,International,Sport,,,5.10-,,
Poker Face,https://www.mountainproject.com/route/107830645/poker-face,3.3,2,210,64,44.5173,-73.7984,Potter Mountain Cliff,Silver Lake,New York,USA,North America,Domestic,Sport,,,5.9+,,
Golden Years,https://www.mountainproject.com/route/114574051/golden-years,2.3,2,160,49,43.72128,-113.07766,09. Dark Side of the Moon,Mortal Earth,Idaho,USA,North America,Domestic,Sport,,,5.10-,,
Flyboys,https://www.mountainproject.com/route/113665378/flyboys,3.1,18,1800,549,48.62285,-120.44865,Goat Wall,Mazama,Washington,USA,North America,Domestic,Sport,,,5.9,,
Big Bad Wolf,https://www.mountainproject.com/route/107339211/big-bad-wolf,3.1,3,220,67,36.14947,-115.42673,Riding Hood Wall,01-Calico Basin,Nevada,USA,North America,Domestic,Sport,,,5.9,,
Royal Flush,https://www.mountainproject.com/route/106811713/royal-flush,3,8,1500,457,39.5723,-106.111,Mount Royal (near Frisco),10 Mile Canyon,Colorado,USA,North America,Domestic,Sport,,,5.9,,
Leonids,https://www.mountainproject.com/route/105793305/leonids,3.6,3,350,107,32.90461,-116.81845,Left Wall,The Wedge,California,USA,North America,Domestic,Sport,,,5.9,,
Wherever I May Roam,https://www.mountainproject.com/route/105821077/wherever-i-may-roam,3.3,5,400,122,44.36445,-121.1482,(6) Northwest Face,(m) Smith Rock Group,Oregon,USA,North America,Domestic,Sport,,,5.9,,
Steel Crazy,https://www.mountainproject.com/route/105738236/steel-crazy,3.3,4,450,137,32.43213,-110.79756,Southeast Face,The Fortress,Arizona,USA,North America,Domestic,Sport,,,5.9,,
The Young and the Rackless,https://www.mountainproject.com/route/105762150/the-young-and-the-rackless,2.9,4,300,91,40.00244,-105.38754,Upper East Face,East Blob,Colorado,USA,North America,Domestic,Sport,,,5.9,,
"Alas, Poor Yorick",https://www.mountainproject.com/route/118289797/alas-poor-yorick,2.5,2,130,40,36.15055,-115.43111,The Hamlet,03-First Pullout (Calico I),Nevada,USA,North America,Domestic,Sport,,,5.7,,
Past Lives,https://www.mountainproject.com/route/106056709/past-lives,2.9,3,180,55,37.2939,-113.6932,Prophesy Wall,Saint George,Utah,USA,North America,Domestic,Sport,,,5.9,,
Gun Rack,https://www.mountainproject.com/route/105921065/gun-rack,2.9,2,,,47.58978,-120.68839,Clem's Holler,Clem's Holler Area,Washington,USA,North America,Domestic,Sport,,,5.9,,
The Trident,https://www.mountainproject.com/route/113675537/the-trident,3,3,265,81,33.30561,-111.07634,Atlantis South Side,Atlantis,Arizona,USA,North America,Domestic,Sport,,,5.9,,
Lord of the Slings,https://www.mountainproject.com/route/105853685/lord-of-the-slings,2.8,4,600,183,40.2675,-111.6254,Trilogy Buttress,Rock Canyon,Utah,USA,North America,Domestic,Sport,,,5.9,,
Green Jello,https://www.mountainproject.com/route/105742124/green-jello,2.7,2,140,43,40.2651,-111.6222,Green Monster Slab,Rock Canyon,Utah,USA,North America,Domestic,Sport,,,5.9,,
Void of Form,https://www.mountainproject.com/route/114262472/void-of-form,3.1,10,1000,305,32.34528,-110.88783,Pontatoc Ridge,Pontatoc Canyon,Arizona,USA,North America,Domestic,Sport,,,5.9,,
Las Chimuelas,https://www.mountainproject.com/route/106079593/las-chimuelas,2.4,3,250,76,25.94838,-100.47698,La Selva (Jungle Wall),El Potrero Chico,,Mexico,North America,International,Sport,,,5.9,,
Methow Inspiration Route,https://www.mountainproject.com/route/108198051/methow-inspiration-route,2.7,5,,,48.62285,-120.44865,Goat Wall,Mazama,Washington,USA,North America,Domestic,Sport,,,5.9,,
The Grecian Highway,https://www.mountainproject.com/route/105836178/the-grecian-highway,3.1,3,285,87,39.5553,-111.6859,Thessalonian Buttress,Maple Canyon Road,Utah,USA,North America,Domestic,Sport,,,5.9,,
Lost in the Jungle,https://www.mountainproject.com/route/107003842/lost-in-the-jungle,2.5,3,250,76,39.25848,-105.10665,The Jungle,Devil's Head,Colorado,USA,North America,Domestic,Sport,,,5.9,,
Memorial Route (aka Caudill Queen King Route *original name*),https://www.mountainproject.com/route/106018806/memorial-route-aka-caudill-queen-king-route-original-name,3,9,1000,305,44.95018,-115.94934,Slick Rock,McCall Area,Idaho,USA,North America,Domestic,Sport,,,5.8+,,
Charlotte's Web,https://www.mountainproject.com/route/105960650/charlottes-web,2.5,2,130,40,49.90989,-123.15665,Conroy's Castle,Chek,,Canada,North America,International,Sport,,,5.9,,
The Blacksmith,https://www.mountainproject.com/route/108564748/the-blacksmith,2.5,2,110,34,25.94968,-100.47518,Los Lobos Wall,Los Lobos Canyon,,Mexico,North America,International,Sport,,,5.9,,
Hydrotube,https://www.mountainproject.com/route/105796626/hydrotube,3.1,2,100,30,43.9853,-122.2985,Hydrotube Area,Flagstone,Oregon,USA,North America,Domestic,Sport,,,5.9,,
Elysian Fields,https://www.mountainproject.com/route/108360588/elysian-fields,2.9,4,300,91,40.7403,-112.6394,Blob's Your Uncle,The Valley of Zion,Utah,USA,North America,Domestic,Sport,,,5.9,,
Charity Toad,https://www.mountainproject.com/route/106018140/charity-toad,2.8,3,180,55,43.8027,-71.83554,Main Cliff Right,Rumney,New Hampshire,USA,North America,Domestic,Sport,,,5.9,,
Anchors Away AKA Enchained Melody,https://www.mountainproject.com/route/118854997/anchors-away-aka-enchained-melody,3,3,200,61,37.62644,-89.20137,A. Shelter 1 Bluff,Giant City State Park,Illinois,USA,North America,Domestic,Sport,,,5.7,,
Taste of Honey,https://www.mountainproject.com/route/114447913/taste-of-honey,3.7,4,230,70,43.32723,-122.95992,Forbidden Comb,The Honeycombs,Oregon,USA,North America,Domestic,Sport,,,5.9,,
Harsh Reality,https://www.mountainproject.com/route/106065730/harsh-reality,2.4,2,190,58,37.2939,-113.6932,Prophesy Wall,Saint George,Utah,USA,North America,Domestic,Sport,,,5.9,,
Coo Coo Cachoo,https://www.mountainproject.com/route/106718260/coo-coo-cachoo,3.3,2,180,55,42.13496,-113.67163,Bracksiek's Pillar,South Hills,Idaho,USA,North America,Domestic,Sport,,,5.8+,,
West Face,https://www.mountainproject.com/route/105872209/west-face,2.6,2,150,46,37.88057,-121.98549,The Rock of Ages,Pine Canyon,California,USA,North America,Domestic,Sport,,,5.8+,,
Inconceivable,https://www.mountainproject.com/route/111679054/inconceivable,2.7,2,120,37,34.6638,-116.97777,Cliffs of Insanity,Box Canyon West,California,USA,North America,Domestic,Sport,,,5.8+,,
Plutonian Shores,https://www.mountainproject.com/route/113313077/plutonian-shores,3.3,7,600,183,51.16117,-115.58955,Raven Crag,Banff National Park,,Canada,North America,International,Sport,,,5.9,,
Fisherman's Elbow,https://www.mountainproject.com/route/106256148/fishermans-elbow,2.4,3,350,107,32.43221,-110.79851,Northwest Face,The Fortress,Arizona,USA,North America,Domestic,Sport,,,5.8+,,
The Goat,https://www.mountainproject.com/route/115145862/the-goat,3.2,19,2100,640,50.8527,-121.7047,Marble Canyon,Interior Plateau,,Canada,North America,International,Sport,,,5.9,,
Snatch,https://www.mountainproject.com/route/106087036/snatch,2.7,3,250,76,40.2665,-111.624,The Jobsite,Rock Canyon,Utah,USA,North America,Domestic,Sport,,,5.9,,
Alpinista Sista,https://www.mountainproject.com/route/106718247/alpinista-sista,2.8,2,190,58,42.13496,-113.67163,Bracksiek's Pillar,South Hills,Idaho,USA,North America,Domestic,Sport,,,5.9,,
Computer Girl,https://www.mountainproject.com/route/107830976/computer-girl,2.7,2,145,44,43.8002,-116.0865,Roadside Rock,Mores Mountain,Idaho,USA,North America,Domestic,Sport,,,5.9,,
Slamfire,https://www.mountainproject.com/route/105838585/slamfire,3,4,300,91,39.5616,-111.7014,"Armory, The",Middle Fork,Utah,USA,North America,Domestic,Sport,,,5.9,,
Tour De Toad,https://www.mountainproject.com/route/110540900/tour-de-toad,2.9,3,200,61,43.8027,-71.83554,Main Cliff Right,Rumney,New Hampshire,USA,North America,Domestic,Sport,,,5.9,,
Lucy in the Sky,https://www.mountainproject.com/route/106750672/lucy-in-the-sky,3.5,2,150,46,36.3288,-84.2233,Devil's Race Track,Tennessee,Tennessee,USA,North America,Domestic,Sport,,,5.9,,
Passion And Pain,https://www.mountainproject.com/route/116154667/passion-and-pain,4,7,1450,442,-16.0141,35.5737,Mulanje Massif,Malawi,,Malawi,Africa,International,Sport,,,5.9,,
Fire and Sage,https://www.mountainproject.com/route/114069963/fire-and-sage,4,5,370,113,42.4536,-107.546,Split Rock,Sweetwater Rocks,Wyoming,USA,North America,Domestic,Sport,,,5.8+,,
Lo Spirito dei Montani,https://www.mountainproject.com/route/113887342/lo-spirito-dei-montani,3.6,7,500,152,-41.19191,-71.38921,Ventana Sur Altos,Cerro Ventana Sur,,Argentina,South America,International,Sport,,,5.9,,
Vertebrae,https://www.mountainproject.com/route/106523397/vertebrae,3.6,2,240,73,43.69963,-74.38656,Snowy Mt,G: Indian Lake Region,New York,USA,North America,Domestic,Sport,,,5.9,,
Midichlorophobia,https://www.mountainproject.com/route/106783845/midichlorophobia,2.7,2,,,40.26544,-111.61291,Tatooine,Galaxy Area,Utah,USA,North America,Domestic,Sport,,,5.9,,
Keeps Me Out of Rusty's (KMOOR),https://www.mountainproject.com/route/112529488/keeps-me-out-of-rustys-kmoor,2.8,2,115,35,37.50342,-118.56721,Diamond Face,Lower Gorge,California,USA,North America,Domestic,Sport,,,5.9,,
Western Harlot,https://www.mountainproject.com/route/108370377/western-harlot,3.3,4,338,103,49.93557,-123.15603,The Outpost,Chek,,Canada,North America,International,Sport,,,5.9,,
Cedar City,https://www.mountainproject.com/route/116669822/cedar-city,2.5,3,200,61,51.00477,-115.06556,Mount Baldy Crag,Kananaskis,,Canada,North America,International,Sport,,,5.7,,
Castle Magic,https://www.mountainproject.com/route/108540774/castle-magic,3.4,2,150,46,37.51005,-118.5696,Penstock Rock,Lower Gorge,California,USA,North America,Domestic,Sport,,,5.9,,
Walk on the Mild Side,https://www.mountainproject.com/route/106277173/walk-on-the-mild-side,2.8,2,200,61,44.79328,-68.49641,Eagle Bluff,Clifton Crags,Maine,USA,North America,Domestic,Sport,,,5.8+,,
Touching the sky,https://www.mountainproject.com/route/112193217/touching-the-sky,3,2,110,34,48.45197,-122.62801,The Headwall,Main Wall,Washington,USA,North America,Domestic,Sport,,,5.8+,,
Rudolfo Chermont,https://www.mountainproject.com/route/109245027/rudolfo-chermont,4,5,459,140,-22.33888,-42.72446,Capacete,Salinas / Três Picos,,Brazil,South America,International,Sport,,,5.9,,
Lolita,https://www.mountainproject.com/route/114158879/lolita,3.3,5,580,177,26.01097,-111.34166,Pilon De Lolita,Loreto Area,,Mexico,North America,International,Sport,,,5.8+,,
Tomahawk,https://www.mountainproject.com/route/118218472/tomahawk,3.3,2,98,30,38.01051,-90.62868,E: Apache,"1: South, Climber's Left of Stairs",Missouri,USA,North America,Domestic,Sport,,,5.8+,,
Via del Carles,https://www.mountainproject.com/route/108811949/via-del-carles,3,5,500,152,41.58999,1.8259,6. Gorro Frigi,Gorros,,Spain,Europe,International,Sport,,,5.9,,
Afghan Hound,https://www.mountainproject.com/route/110537693/afghan-hound,2.5,2,115,35,44.10033,-107.28463,Hound Dog Crag,Ten Sleep Canyon,Wyoming,USA,North America,Domestic,Sport,,,5.9,,
Like Flowers Come Spring,https://www.mountainproject.com/route/114955236/like-flowers-come-spring,3.1,2,140,43,47.42952,-121.62058,Gun Show,Exit 38: Far Side,Washington,USA,North America,Domestic,Sport,,,5.9,,
Marie-Jacqueline,https://www.mountainproject.com/route/107329559/marie-jacqueline,3.5,7,,,43.213,5.443,Cap de Morgiou,Calanque de Morgiou,,France,Europe,International,Sport,,,5.8+,,
Implorien,https://www.mountainproject.com/route/105957892/implorien,2.6,2,200,61,40.63207,-111.75115,Mule Hollow Wall,Big Cottonwood Canyon,Utah,USA,North America,Domestic,Sport,,,5.9,,
Le Temple,https://www.mountainproject.com/route/111934343/le-temple,3.6,9,550,168,43.21013,5.46379,Socle de la Candelle,Calanque de Sugiton,,France,Europe,International,Sport,,,5.9,,
Ice House Roof,https://www.mountainproject.com/route/111951204/ice-house-roof,3.3,3,450,137,38.8802,-120.2893,Crystal Wall Area,Slick Rock Dome,California,USA,North America,Domestic,Sport,,,5.9,,
Remember The Alamo,https://www.mountainproject.com/route/110160913/remember-the-alamo,2.6,3,225,69,25.94681,-100.47955,The Dihedrals,El Potrero Chico,,Mexico,North America,International,Sport,,,5.9,,
The Pike,https://www.mountainproject.com/route/112141982/the-pike,2.9,2,180,55,38.98947,-119.9091,Armory Wall,Castle Rock,Nevada,USA,North America,Domestic,Sport,,,5.9,,
Qui L'eut cru?,https://www.mountainproject.com/route/114043063/qui-leut-cru,3.4,10,1800,549,31.5869,-5.5911,Jardins d'ete,Todra Gorge,,Morocco,Africa,International,Sport,,,5.9,,
Northern Lights,https://www.mountainproject.com/route/107805806/northern-lights,3.3,2,200,61,43.9855,-122.299,NW Corner,Flagstone,Oregon,USA,North America,Domestic,Sport,,,5.9,,
Via del Padre,https://www.mountainproject.com/route/109904657/via-del-padre,3.3,2,300,91,20.74833,-99.94637,South Face,Peña de Bernal,,Mexico,North America,International,Sport,,,5.9,,
Lo dejamos ahi,https://www.mountainproject.com/route/108706281/lo-dejamos-ahi,2.9,4,400,122,-49.32838,-72.88083,Paredon de Los Condores,El Chalten,,Argentina,South America,International,Sport,,,5.9,,
Middle Earth,https://www.mountainproject.com/route/107207325/middle-earth,2.6,2,170,52,34.51328,-118.40175,The First Corridor,Texas Canyon,California,USA,North America,Domestic,Sport,,,5.9,,
Freedom Fighter,https://www.mountainproject.com/route/112193224/freedom-fighter,2.9,2,115,35,48.45197,-122.62805,Main Wall West,Main Wall,Washington,USA,North America,Domestic,Sport,,,5.9,,
Sólidas Illusōes,https://www.mountainproject.com/route/111903050/solidas-illusoes,3.5,11,1500,457,-22.33888,-42.72446,Capacete,Salinas / Três Picos,,Brazil,South America,International,Sport,,,5.8+,,
Deserted Cities of the Heart,https://www.mountainproject.com/route/105748756/deserted-cities-of-the-heart,2.6,2,,,39.9668,-105.2882,The Goose,South,Colorado,USA,North America,Domestic,Sport,,,5.9,,
South Ridge,https://www.mountainproject.com/route/109458099/south-ridge,3.5,6,1000,305,-11.20924,14.33458,Pedra de Cumbira,Conda Region (Serra de N'gelo),,Angola,Africa,International,Sport,,,5.8+,,
Grieta Larga,https://www.mountainproject.com/route/112554542/grieta-larga,3.5,2,98,30,25.62055,-100.4592,La Cocina,Extremita,,Mexico,North America,International,Sport,,,5.9,,
Tik sab,https://www.mountainproject.com/route/114043059/tik-sab,3.5,4,400,122,31.5869,-5.5911,Jardins d'ete,Todra Gorge,,Morocco,Africa,International,Sport,,,5.9,,
Hotshot,https://www.mountainproject.com/route/105840293/hotshot,2.3,3,250,76,32.4334,-110.7971,The Ravens,8 - Summit Crags,Arizona,USA,North America,Domestic,Sport,,,5.8+,,
Nellie,https://www.mountainproject.com/route/116698719/nellie,3.4,2,150,46,18.09261,-66.23084,Left Teta,Cerro Las Tetas (Cayey),Puerto Rico,USA,North America,Domestic,Sport,,,5.9,,
3 Stripes,https://www.mountainproject.com/route/110890731/3-stripes,3.2,6,580,177,36.9526,26.979,Spartacus,Kalymnos,,Greece,Europe,International,Sport,,,5.8+,,
Metallic Gray,https://www.mountainproject.com/route/106673827/metallic-gray,2.8,3,190,58,32.93132,-107.23428,Super Hero Wall (Grey Wall),Bat Cave Area,New Mexico,USA,North America,Domestic,Sport,,,5.9,,
Expressway,https://www.mountainproject.com/route/116848476/expressway,3.5,3,255,78,49.77624,-119.53432,Gomer Wall,Cedar Park,,Canada,North America,International,Sport,,,5.9,,
Pilier Gris,https://www.mountainproject.com/route/106739918/pilier-gris,3.5,3,160,49,45.1255,5.6022,Lans-en-Vercors,Vercors,,France,Europe,International,Sport,,,5.9,,
La Grande Traversé du Bec,https://www.mountainproject.com/route/107342425/la-grande-traverse-du-bec,3.5,10,,,43.2102,5.4206,Le Bec de Sormiou,Calanque de Sormiou,,France,Europe,International,Sport,,,5.9,,
Fly Me to the Moon,https://www.mountainproject.com/route/106122641/fly-me-to-the-moon,3.5,5,550,168,25.19444,102.46453,Eye Cave (Yan Jing Dong),Fumin Canyon,,China,Asia,International,Sport,,,5.9,,
Bravo Lapp,https://www.mountainproject.com/route/118902024/bravo-lapp,3.5,10,,,46.12272,7.01954,Salvan,Switzerland,,Switzerland,Europe,International,Sport,,,5.9,,
Blue-Eyed Sandbagger,https://www.mountainproject.com/route/106361264/blue-eyed-sandbagger,3.3,2,400,122,42.5291,-107.51412,The Moonstone,Sweetwater Rocks,Wyoming,USA,North America,Domestic,Sport,,,5.8+,,
Crack on the Mossy Breast,https://www.mountainproject.com/route/115173840/crack-on-the-mossy-breast,3,5,500,152,-1.63964,29.40597,Bigogwe,Rwanda,,Rwanda,Africa,International,Sport,,,5.8+,,
M.U.,https://www.mountainproject.com/route/113186180/mu,2.7,3,300,91,38.84175,-120.04551,Meyers Multipitch,Meyers Area,California,USA,North America,Domestic,Sport,,,5.9,,
Stromberg,https://www.mountainproject.com/route/108190281/stromberg,3.1,5,450,137,41.58999,1.8259,6. Gorro Frigi,Gorros,,Spain,Europe,International,Sport,,,5.9,,
Matt's Line (AKA: Left Of El Cautivo),https://www.mountainproject.com/route/106085543/matts-line-aka-left-of-el-cautivo,2.8,3,420,128,31.9436,-109.97141,Out-of-Towners Dome,East Stronghold,Arizona,USA,North America,Domestic,Sport,,,5.9,,
Arete de Marseille,https://www.mountainproject.com/route/115365761/arete-de-marseille,4,6,500,152,43.21123,5.46506,La Candelle,Calanque de Sugiton,,France,Europe,International,Sport,,,5.9+,,
"He Said, She Said",https://www.mountainproject.com/route/111855953/he-said-she-said,2.5,2,95,29,35.19166,-85.69914,Wall of Useless Conflict,Foster Falls,Tennessee,USA,North America,Domestic,Sport,,,5.9,,
Pull Up A Drill,https://www.mountainproject.com/route/115401604/pull-up-a-drill,3.3,3,200,61,39.61038,-105.9269,Porcupine Rock,Keystone a.k.a. Montezuma,Colorado,USA,North America,Domestic,Sport,,,5.9,,
Lluvia de Asteroides,https://www.mountainproject.com/route/112401946/lluvia-de-asteroides,3.3,8,820,250,36.91097,-4.75927,Momia,Zona de las Frontales,,Spain,Europe,International,Sport,,,5.9,,
Broomberg,https://www.mountainproject.com/route/112787899/broomberg,3.3,4,400,122,12.69176,77.29015,Achalu South Wall,Achalu,,India,Asia,International,Sport,,,5.9,,
Space Cowboy,https://www.mountainproject.com/route/113591225/space-cowboy,3.2,2,170,52,43.72124,-113.07766,08. Sea of Joy,Mortal Earth,Idaho,USA,North America,Domestic,Sport,,,5.9,,
Shortcut to Exposure,https://www.mountainproject.com/route/106606835/shortcut-to-exposure,3.3,2,200,61,-44.65101,168.94982,Roadside Area,Wanaka,,New Zealand,Oceania,International,Sport,,,5.9,,
Meteorit,https://www.mountainproject.com/route/106283407/meteorit,3,7,600,183,46.7886,8.2583,Cheselenflue,Melchtal,,Switzerland,Europe,International,Sport,,,5.9+,,
El Cautivo,https://www.mountainproject.com/route/106646827/el-cautivo,2.7,4,400,122,31.9436,-109.97141,Out-of-Towners Dome,East Stronghold,Arizona,USA,North America,Domestic,Sport,,,5.9,,
Amp Right,https://www.mountainproject.com/route/105763965/amp-right,2.5,2,,,38.30838,-105.26009,Tanner Dome,Oak Creek Canyon,Colorado,USA,North America,Domestic,Sport,,,5.8+,,
Aqualung,https://www.mountainproject.com/route/110391621/aqualung,3,2,140,43,51.09785,-115.3159,House of Cards,Cougar Canyon (Creek),,Canada,North America,International,Sport,,,5.9,,
The Big Lewboski,https://www.mountainproject.com/route/113936737/the-big-lewboski,2.4,3,220,67,31.9438,-109.9632,Lebowski Wall,East Stronghold,Arizona,USA,North America,Domestic,Sport,,,5.9,,
Waltz for a Lovely Wife,https://www.mountainproject.com/route/110697053/waltz-for-a-lovely-wife,3,7,700,213,14.83137,100.75471,Khao Chin Lae,Central - Around Bangkok,,Thailand,Asia,International,Sport,,,5.9,,
The Green Mile,https://www.mountainproject.com/route/110751762/the-green-mile,3,2,220,67,39.1987,-105.2199,The Outback,Thunder Ridge,Colorado,USA,North America,Domestic,Sport,,,5.9,,
Face au Public,https://www.mountainproject.com/route/111934057/face-au-public,3,2,140,43,43.77522,6.38408,Papy on Sight,Belvedere de la Carelle,,France,Europe,International,Sport,,,5.8+,,
Sandstoner's Highway,https://www.mountainproject.com/route/107079567/sandstoners-highway,2.7,2,200,61,38.3682,-108.8154,Sunshine Wall (River Road area),Naturita and Paradox Valley,Colorado,USA,North America,Domestic,Sport,,,5.9,,
13b,https://www.mountainproject.com/route/110904210/13b,2.7,2,130,40,42.12433,-113.67199,Hostess Gully - West Corridor,Castle Rocks,Idaho,USA,North America,Domestic,Sport,,,5.9,,
Nervous Tic,https://www.mountainproject.com/route/106874903/nervous-tic,2.6,2,160,49,40.4145,-105.3783,Tick Rock,Mary's Bust Area,Colorado,USA,North America,Domestic,Sport,,,5.9,,
Moon Bears,https://www.mountainproject.com/route/113523705/moon-bears,3,9,820,250,46.04707,10.94681,Parete della Centrale,Piccolo Dain (Monte Garzole),,Italy,Europe,International,Sport,,,5.9,,
Time Warp,https://www.mountainproject.com/route/117673376/time-warp,3,2,110,34,43.32614,-122.95688,Clock Tower,South Comb,Oregon,USA,North America,Domestic,Sport,,,5.9+,,
Guides in a Snowbank,https://www.mountainproject.com/route/109117063/guides-in-a-snowbank,2.8,4,500,152,37.45399,-119.53479,c. Main Wall,Fresno Dome,California,USA,North America,Domestic,Sport,,,5.9,,
Jimmy the Geek,https://www.mountainproject.com/route/105718228/jimmy-the-geek,2.3,2,130,40,37.19743,-113.64353,Circus Wall,Island In The Sky,Utah,USA,North America,Domestic,Sport,,,5.9,,
Ugly Duckling,https://www.mountainproject.com/route/111782491/ugly-duckling,2.9,2,170,52,34.47098,-119.68953,Rattlesnake Canyon Crags (including Upper and Lower Alchemist),Santa Barbara,California,USA,North America,Domestic,Sport,,,5.9,,
Partial Totality,https://www.mountainproject.com/route/114018666/partial-totality,3,3,550,168,45.89537,-110.96109,Landing Strip,Airplane Bowl,Montana,USA,North America,Domestic,Sport,,,5.8+,,
Frodo Lives,https://www.mountainproject.com/route/106054941/frodo-lives,2.5,2,200,61,40.2675,-111.6254,Trilogy Buttress,Rock Canyon,Utah,USA,North America,Domestic,Sport,,,5.9,,
Covey Leader to Raven,https://www.mountainproject.com/route/106131748/covey-leader-to-raven,2.6,2,140,43,40.2666,-111.6273,Training Camp,Rock Canyon,Utah,USA,North America,Domestic,Sport,,,5.9,,
Green Goddess,https://www.mountainproject.com/route/117930446/green-goddess,3,3,210,64,32.93189,-107.2343,Villain Wall,Bat Cave Area,New Mexico,USA,North America,Domestic,Sport,,,5.9,,
When It All Comes Crashing Down,https://www.mountainproject.com/route/114956407/when-it-all-comes-crashing-down,3,3,150,46,39.25435,-105.09099,Recovery Wall,Devil's Head,Colorado,USA,North America,Domestic,Sport,,,5.9,,
Isn’t That a Daisy,https://www.mountainproject.com/route/118700074/isnt-that-a-daisy,3.3,2,90,27,47.84809,-117.73121,"Tombstone (Private area, permission needed)",Tum Tum,Washington,USA,North America,Domestic,Sport,,,5.9,,
Horizonte de Estrellas,https://www.mountainproject.com/route/109904499/horizonte-de-estrellas,3,4,400,122,20.74833,-99.94637,South Face,Peña de Bernal,,Mexico,North America,International,Sport,,,5.9,,
Thunder Road,https://www.mountainproject.com/route/110838179/thunder-road,2.8,2,205,62,43.8821,-103.4621,Inner Marker,Marker,South Dakota,USA,North America,Domestic,Sport,,,5.9,,
Hyrax Highway,https://www.mountainproject.com/route/112158738/hyrax-highway,3,2,200,61,-21.83892,15.21058,Old Graves Site Area,Spitzkoppe and Pontoks,,Namibia,Africa,International,Sport,,,5.7,,
Karabore,https://www.mountainproject.com/route/106701955/karabore,2.8,3,360,110,44.30671,15.47783,Stup G17-20,Anica kuk,,Croatia,Europe,International,Sport,,,5.9,,
Litige,https://www.mountainproject.com/route/117989339/litige,3,2,,,46.12781,-74.67909,07 - Grand canyon,Montagne d'Argent,,Canada,North America,International,Sport,,,5.8+,,
"Like Father, Like Son",https://www.mountainproject.com/route/106074927/like-father-like-son,2.8,2,120,37,44.80861,-107.36071,Moderate Wall,Steamboat Point,Wyoming,USA,North America,Domestic,Sport,,,5.9,,
Brume en Ribazie,https://www.mountainproject.com/route/117576223/brume-en-ribazie,3,7,650,198,34.20288,35.92028,Multi-pitch,Tannourine El Fawqa (Chir Al Ribazi),,Lebanon,Asia,International,Sport,,,5.9,,
Clubs Full Of Jacks,https://www.mountainproject.com/route/108361920/clubs-full-of-jacks,2.5,2,150,46,40.7403,-112.6394,Blob's Your Uncle,The Valley of Zion,Utah,USA,North America,Domestic,Sport,,,5.9,,
Freak Show,https://www.mountainproject.com/route/105879837/freak-show,2.4,2,160,49,37.19743,-113.64353,Circus Wall,Island In The Sky,Utah,USA,North America,Domestic,Sport,,,5.9,,
Creature Comforts (aka Wild Thing),https://www.mountainproject.com/route/107028415/creature-comforts-aka-wild-thing,3,2,,,39.28624,-105.06397,Jackson Creek Dome,Jackson Creek,Colorado,USA,North America,Domestic,Sport,,,5.9,,
Goat's Head Soup,https://www.mountainproject.com/route/114498993/goats-head-soup,3,2,70,21,51.0641,-115.41939,Old Goat Crag,Bow Valley,,Canada,North America,International,Sport,,,5.9,,
Shakedown Street,https://www.mountainproject.com/route/111985556/shakedown-street,3,2,100,30,44.73299,-115.86198,Terrapin,The Pins,Idaho,USA,North America,Domestic,Sport,,,5.9,,
Lewy Komin,https://www.mountainproject.com/route/117739531/lewy-komin,3,3,300,91,50.17207,19.74174,Sokolica,Dolina Bedkowska,,Poland,Europe,International,Sport,,,5.9,,
Medusa's Werewolf,https://www.mountainproject.com/route/114431800/medusas-werewolf,3,2,90,27,49.89482,-123.16409,Jed Wall,The Pillary,,Canada,North America,International,Sport,,,5.9,,
Pierre et le loup,https://www.mountainproject.com/route/114041049/pierre-et-le-loup,3,5,550,168,31.58553,-5.59011,Les pieds dans l'eau,Todra Gorge,,Morocco,Africa,International,Sport,,,5.9,,
Tout droit,https://www.mountainproject.com/route/112820820/tout-droit,3,4,300,91,43.21629,5.44318,Le Cret-Saint-Michel,Calanque de Morgiou,,France,Europe,International,Sport,,,5.9,,
Dirty Sanchez,https://www.mountainproject.com/route/107478445/dirty-sanchez,2.8,2,110,34,40.4414,-75.09818,i. Orangutan Buttress,Ralph Stover State Park (High Rocks),Pennsylvania,USA,North America,Domestic,Sport,,,5.9+,,
Arco de Noe,https://www.mountainproject.com/route/107550682/arco-de-noe,3,4,450,137,-22.95639,-43.16741,Morro da Babilonia,Urca (Pao de Acucar area),,Brazil,South America,International,Sport,,,5.9,,
Chʼáagu Chʼáakʼ,https://www.mountainproject.com/route/117507297/chaagu-chaak,3,5,722,220,60.30354,-133.96689,Rusted Goat Wall,White Mountain,,Canada,North America,International,Sport,,,5.9,,
